market,trade_date_utc,trade_time_utc,timestamp,trade_price,trade_volume,prev_closing_price,change_price,ask_bid,sequential_id
KRW-ETH,2024-03-19,15:11:26,1710861086275,4803000.0,0.02175073,5156000.0,-353000.0,ASK,17108610862750013
KRW-ETH,2024-03-19,15:11:26,1710861086275,4803000.0,1.0,5156000.0,-353000.0,ASK,17108610862750012
KRW-ETH,2024-03-19,15:11:26,1710861086275,4803000.0,0.00208203,5156000.0,-353000.0,ASK,17108610862750011
KRW-ETH,2024-03-19,15:11:26,1710861086275,4804000.0,0.00790612,5156000.0,-352000.0,ASK,17108610862750010
KRW-ETH,2024-03-19,15:11:26,1710861086275,4804000.0,0.20815986,5156000.0,-352000.0,ASK,17108610862750009
KRW-ETH,2024-03-19,15:11:26,1710861086275,4804000.0,0.0015,5156000.0,-352000.0,ASK,17108610862750008
KRW-ETH,2024-03-19,15:11:26,1710861086275,4804000.0,0.02081598,5156000.0,-352000.0,ASK,17108610862750007
KRW-ETH,2024-03-19,15:11:26,1710861086275,4804000.0,0.0062448,5156000.0,-352000.0,ASK,17108610862750006
KRW-ETH,2024-03-19,15:11:26,1710861086275,4804000.0,0.00624479,5156000.0,-352000.0,ASK,17108610862750005
KRW-ETH,2024-03-19,15:11:26,1710861086275,4805000.0,0.03112382,5156000.0,-351000.0,ASK,17108610862750004
KRW-ETH,2024-03-19,15:11:26,1710861086275,4805000.0,0.00832466,5156000.0,-351000.0,ASK,17108610862750003
KRW-ETH,2024-03-19,15:11:26,1710861086275,4805000.0,0.02081165,5156000.0,-351000.0,ASK,17108610862750002
KRW-ETH,2024-03-19,15:11:26,1710861086275,4805000.0,0.20811655,5156000.0,-351000.0,ASK,17108610862750001
KRW-ETH,2024-03-19,15:11:26,1710861086275,4805000.0,0.04179755,5156000.0,-351000.0,ASK,17108610862750000
KRW-ETH,2024-03-19,15:11:26,1710861086062,4805000.0,0.06958736,5156000.0,-351000.0,ASK,17108610860620000
KRW-ETH,2024-03-19,15:11:24,1710861084613,4807000.0,0.0207824,5156000.0,-349000.0,BID,17108610846130000
KRW-ETH,2024-03-19,15:11:24,1710861084366,4806000.0,0.20772746,5156000.0,-350000.0,ASK,17108610843660000
KRW-ETH,2024-03-19,15:11:21,1710861081864,4806000.0,0.01,5156000.0,-350000.0,ASK,17108610818640005
KRW-ETH,2024-03-19,15:11:21,1710861081864,4806000.0,0.00208073,5156000.0,-350000.0,ASK,17108610818640004
KRW-ETH,2024-03-19,15:11:21,1710861081864,4806000.0,0.00832292,5156000.0,-350000.0,ASK,17108610818640003
KRW-ETH,2024-03-19,15:11:21,1710861081864,4806000.0,0.00208333,5156000.0,-350000.0,ASK,17108610818640002
KRW-ETH,2024-03-19,15:11:21,1710861081864,4806000.0,0.05994704,5156000.0,-350000.0,ASK,17108610818640001
KRW-ETH,2024-03-19,15:11:21,1710861081864,4806000.0,0.09039411,5156000.0,-350000.0,ASK,17108610818640000
KRW-ETH,2024-03-19,15:11:21,1710861081154,4807000.0,0.0256305,5156000.0,-349000.0,BID,17108610811540000
KRW-ETH,2024-03-19,15:11:19,1710861079927,4810000.0,0.02079002,5156000.0,-346000.0,BID,17108610799270000
KRW-ETH,2024-03-19,15:11:19,1710861079170,4806000.0,0.12228045,5156000.0,-350000.0,ASK,17108610791700005
KRW-ETH,2024-03-19,15:11:19,1710861079170,4806000.0,0.00208073,5156000.0,-350000.0,ASK,17108610791700004
KRW-ETH,2024-03-19,15:11:19,1710861079170,4806000.0,0.01,5156000.0,-350000.0,ASK,17108610791700003
KRW-ETH,2024-03-19,15:11:19,1710861079170,4806000.0,0.04773663,5156000.0,-350000.0,ASK,17108610791700002
KRW-ETH,2024-03-19,15:11:19,1710861079170,4806000.0,0.01040366,5156000.0,-350000.0,ASK,17108610791700001
KRW-ETH,2024-03-19,15:11:19,1710861079170,4806000.0,0.0062422,5156000.0,-350000.0,ASK,17108610791700000
KRW-ETH,2024-03-19,15:11:18,1710861078557,4808000.0,1.336,5156000.0,-348000.0,ASK,17108610785570001
